"","gnd_id","author","title","date","link"
"8344","http://d-nb.info/gnd/101099851","Godard D'Aucourt","Themidor",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb14338"
"8658","http://d-nb.info/gnd/101099851","Godard D'Aucourt","Themidor",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb10791"
"9225","http://d-nb.info/gnd/117311340","Arthur Schurig","Der vollkommene Spi…",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb2143"
"9249","http://d-nb.info/gnd/116017538","Arthur Kahane","Tagebuch des Dramat…",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb7739"
"9301","http://d-nb.info/gnd/104086424","Kurt Aram","An den Ufern des Ar…",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb17018"
"9394","http://d-nb.info/gnd/116288582","Alma Johanna Koenig","Gudrun",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb9736"
"9455","http://d-nb.info/gnd/118609807","Arthur Schnitzler","Therese",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb8545"
"9467","http://d-nb.info/gnd/116681691","Artur Landsberger","Bankhaus Reichenbach",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb15302"
"10043","http://d-nb.info/gnd/118674927","Alfred Brust","Jutt und Jula",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb9003"
"18916","http://d-nb.info/gnd/118637843","Theodor Birt","Das Kulturleben der…",1928,"https://kolimo.uni-goettingen.de/text.html?id=gb8969"
